Name,Tectonic_region,Faulting_style,Method,Longitude,Latitude,Location_accuracy,NoEvents
AlaskaPWSCopper,Subduction,Reverse,Unknown,-145.6,59.3,Approximate,9
AlpineHokuriCkSouthWestland,Plate_boundary_master,Strike_slip,Trench,168.288,-44.33,Approximate,25
AwatereEast,Plate_boundary_network,Strike_slip,Trench,174.1228,-41.592,Approximate,10
Bree,Intraplate_noncratonic,Normal,Trench,5.62,51.12,Approximate,6
Cadell,Intraplate_noncratonic,Reverse,Geomorphology,144.898,-35.955,Approximate,9
Cascadia,Subduction,Reverse,Turbidite,-125.8,45,Approximate,19
CascadiaNth,Subduction,Reverse,Turbidite,-127.53,48.93,Approximate,10
CascadiaSth,Subduction,Reverse,Turbidite,-125.3,42.5,Approximate,19
ChileMargin,Subduction,Reverse,Turbidite,-74,-40,Approximate,35
CloudyFault,Plate_boundary_network,Strike_slip,Trench,174.3077,-41.4683,Approximate,6
DaqingshanPiedmontHohhot,Active_intraplate,Normal,Trench,111.6,40.8,Approximate,7
DeadSeaBeteiha,Plate_boundary_master,Strike_slip,Trench,35.6,32.9,Approximate,11
DeadSeaJordan,Plate_boundary_master,Strike_slip,Trench,35.5,32.2,Approximate,12
DeadSeaQatar,Plate_boundary_master,Strike_slip,Trench,35.05,29.8,Approximate,10
DeadSeaTaybeh,Plate_boundary_master,Strike_slip,Trench,35.25,30.4,Approximate,11
DeadSeaYammouneh,Plate_boundary_master,Strike_slip,Trench,36.02,34.11,Approximate,12
Dunstan,Near_plate_boundary,Reverse,Trench,169.592,-45,Approximate,7
EastKunlunKusaihu,Active_intraplate,Strike_slip,Trench,93,35.8,Approximate,10
EastKunlunXidatan,Active_intraplate,Strike_slip,Trench,95,35.5,Approximate,6
Elashan,Active_intraplate,Strike_slip,Trench,98.9,36.7,Approximate,5
ElsinoreTemecula,Plate_boundary_network,Strike_slip,Trench,-117.1381,33.4984,Approximate,5
FatigueWash,Near_plate_boundary,Normal,Trench,-116.5,36.8,Approximate,6
Futugawa,Near_plate_boundary,Strike_slip,Trench,130.85908,32.804516,Good,5
GarlockElPasoPeaks,Near_plate_boundary,Strike_slip,Trench,-117.6791,35.4451,Approximate,6
