Index,faultname,MA forecast 50 yr median prob this study (%),2.50%,97.50%,Since year,Other study segment name,Forecast 30 (or 50) yr mean prob (%),"min (For Hokuri Creek, this is 2.5% percentile)","max (For Hokuri Creek, this is 97.5% percentile)",Since year,30 yr or 50 yr,Reference,Full reference
1,Alaska PWS Copper,0.001,0,0.006,2022,,,,,,,,
2,Alpine Hokuri Ck South Westland,26.898,22.22,32.492,2022,Hokuri Creek,26.8,18.2,35.8,2013,50 year probabilities,Biasi et al. (2015),"Biasi, G.P., Langridge, R.M., Berryman, K.R., Clark, K.J. and Cochran, U.A., 2015. Maximum?likelihood recurrence parameters and conditional probability of a ground?rupturing earthquake on the Southern Alpine Fault, South Island, New Zealand. Bulletin of the Seismological Society of America, 105(1), pp.94-106."
3,Awatere East,2.806,2.382,3.254,2022,,,,,,,,
4,Bree,0.042,0.008,0.121,2022,,,,,,,,
5,Cadell,0.038,0.034,0.043,2022,,,,,,,,
6,Cascadia,9.751,7.763,11.329,2022,,,,,,,,
7,Cascadia Nth,6.884,5.369,7.84,2022,,,,,,,,
8,Cascadia Sth,9.676,8.502,10.873,2022,,,,,,,,
9,Chile Margin,30.379,29.116,31.673,2022,,,,,,,,
10,Cloudy Fault,1.618,1.372,1.893,2022,,,,,,,,
11,Daqingshan Piedmont Hohhot,6.136,5.316,6.933,2022,,,,,,,,
12,Dead Sea Beteiha,20.336,18.506,22.139,2022,,,,,,,,
13,Dead Sea Jordan,4.35,3.941,4.798,2022,,,,,,,,
14,Dead Sea Qatar,9.999,8.886,11.035,2022,,,,,,,,
15,Dead Sea Taybeh,6.91,6.234,7.653,2022,,,,,,,,
16,Dead Sea Yammouneh,5.61,4.583,6.942,2022,,,,,,,,
17,Dunstan,0.339,0.29,0.396,2022,,,,,,,,
18,East Kunlun Kusaihu,0,0,0,2022,,,,,,,,
19,East Kunlun Xidatan,3.286,2.866,3.758,2022,,,,,,,,
20,Elashan,4.116,3.281,5.041,2022,,,,,,,,
21,Elsinore Temecula,4.029,2.404,5.227,2022,Temecula,2.22,0.23,5.09,2014,30 year probabilities,Field et al. (2015),"Field, E. H., Biasi, G. P., Bird, P., Dawson, T. E., Felzer, K. R., Jackson, D. D., Johnson, K. M., Jordan, T. H., Madden, C., Michael, A. J., et al. (2015). Long-term time-dependent probabilities for the third Uniform California Earthquake Rupture Forecast (UCERF3). Bulletin of the Seismological Society of America, 105(2A):511Ð543. "
22,Fatigue Wash,0.042,0.027,0.061,2022,,,,,,,,
23,Futugawa,0,0,0,2022,,,,,,,,
24,Garlock El Paso Peaks,3.338,2.892,3.824,2022,Central,5.66,0.08,28.22,2014,30 year probabilities,Field et al. (2015),
